name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100% Bran,,C,,0.5999999999999999,0.2,0.40625,0.7142857142857142,0.25000000000000006,0.4375,0.8489425981873111,0.25,1.0,0.5,0.06399999999999997,0.6655927863239148
100% Natural Bran,,C,,0.39999999999999986,1.0,0.046875,0.14285714285714285,0.3750000000000002,0.5625,0.41087613293051356,0.0,1.0,0.5,0.5999999999999999,0.21068455959718047
All-Bran,,C,,0.5999999999999999,0.2,0.8125,0.6428571428571428,0.3333333333333334,0.375,0.9697885196374622,0.25,1.0,0.5,0.06399999999999997,0.5469406126803764
All-Bran with Extra Fiber,,C,,0.5999999999999999,0.0,0.4375,1.0,0.3750000000000002,0.0625,1.0,0.25,1.0,0.5,0.1999999999999999,1.0
Almond Delight,,C,,0.1999999999999999,0.4,0.625,0.07142857142857142,0.6250000000000001,0.5625,0.0,0.25,1.0,0.5,0.39999999999999986,0.21598660919374107
Apple Cinnamon Cheerios,,C,,0.1999999999999999,0.4,0.5625,0.10714285714285714,0.4791666666666669,0.6875,0.21450151057401812,0.25,0.0,0.5,0.39999999999999986,0.1515513831958662
Apple Jacks,,C,,0.1999999999999999,0.0,0.390625,0.07142857142857142,0.5000000000000002,0.9375,0.09365558912386707,0.25,0.5,0.5,0.5999999999999999,0.19998454707703506
Basic 4,,C,,0.39999999999999986,0.4,0.65625,0.14285714285714285,0.7916666666666671,0.5625,0.3051359516616314,0.25,1.0,0.8300000000000001,0.39999999999999986,0.25105992024192947
Bran Chex,,C,,0.1999999999999999,0.2,0.625,0.2857142857142857,0.6666666666666669,0.4375,0.3806646525679758,0.25,0.0,0.5,0.3359999999999999,0.41073956470733736
Bran Flakes,,C,,0.39999999999999986,0.0,0.65625,0.3571428571428571,0.5833333333333335,0.375,0.5770392749244713,0.25,1.0,0.5,0.3359999999999999,0.46616443609697605
Cap'n'Crunch,,C,,0.0,0.4,0.6875,0.0,0.5416666666666669,0.8125,0.10876132930513595,0.25,0.5,0.5,0.39999999999999986,0.0
Cheerios,,C,,0.9999999999999998,0.4,0.90625,0.14285714285714285,0.7500000000000002,0.125,0.3202416918429003,0.25,0.0,0.5,0.7999999999999996,0.4324776191333198
Cinnamon Toast Crunch,,C,,0.0,0.6000000000000001,0.65625,0.0,0.5833333333333335,0.625,0.13897280966767372,0.25,0.5,0.5,0.39999999999999986,0.02353520346214205
Clusters,,C,,0.39999999999999986,0.4,0.4375,0.14285714285714285,0.5833333333333335,0.5,0.3202416918429003,0.25,1.0,0.5,0.1999999999999999,0.2954896642321176
Cocoa Puffs,,C,,0.0,0.2,0.5625,0.0,0.5416666666666669,0.875,0.1691842900302115,0.25,0.5,0.5,0.5999999999999999,0.06203366572316876
Corn Chex,,C,,0.1999999999999999,0.0,0.875,0.0,0.9583333333333337,0.25,0.07854984894259819,0.25,0.0,0.5,0.5999999999999999,0.30929857964085866
Corn Flakes,,C,,0.1999999999999999,0.20526315789473687,0.90625,0.07142857142857142,0.9166666666666671,0.1875,0.10876132930513595,0.25,0.0,0.5,0.5999999999999999,0.367693830068943
Corn Pops,,C,,0.0,0.0,0.28125,0.07142857142857142,0.5833333333333335,0.8125,0.0634441087613293,0.25,0.5,0.5,0.5999999999999999,0.23446281750109882
Count Chocula,,C,,0.0,0.2,0.5625,0.0,0.5416666666666669,0.875,0.19939577039274925,0.25,0.5,0.5,0.5999999999999999,0.057540885649414175
Cracklin' Oat Bran,,C,,0.39999999999999986,0.6000000000000001,0.4375,0.2857142857142857,0.45833333333333354,0.5,0.48640483383685795,0.25,1.0,0.5,0.1999999999999999,0.29613151827836154
Cream of Wheat (Quick),,H,,0.39999999999999986,0.0,0.25,0.07142857142857142,0.9166666666666671,0.0625,0.0,0.0,0.5,0.5,0.5999999999999999,0.614455440223866
Crispix,,C,,0.1999999999999999,0.0,0.6875,0.07142857142857142,0.9166666666666671,0.25,0.09365558912386707,0.25,1.0,0.5,0.5999999999999999,0.38133765613389786
Crispy Wheat & Raisins,,C,,0.1999999999999999,0.2,0.4375,0.14285714285714285,0.5000000000000002,0.6875,0.3655589123867069,0.25,1.0,0.5,0.39999999999999986,0.23966231900555818
Double Chex,,C,,0.1999999999999999,0.0,0.59375,0.07142857142857142,0.7916666666666671,0.375,0.24471299093655588,0.25,1.0,0.5,0.39999999999999986,0.34743971618748265
Froot Loops,,C,,0.1999999999999999,0.2,0.390625,0.07142857142857142,0.5000000000000002,0.875,0.09365558912386707,0.25,0.5,0.5,0.5999999999999999,0.1872104832037288
Frosted Flakes,,C,,0.0,0.0,0.625,0.07142857142857142,0.6250000000000001,0.75,0.07854984894259819,0.25,0.0,0.5,0.39999999999999986,0.1770123866966828
Frosted Mini-Wheats,,C,,0.39999999999999986,0.0,0.0,0.21428571428571427,0.6250000000000001,0.5,0.3051359516616314,0.25,0.5,0.5,0.4399999999999999,0.532661805234198
Fruit & Fibre Dates; Walnuts; and Oats,,C,,0.39999999999999986,0.4,0.5,0.3571428571428571,0.5416666666666669,0.6875,0.607250755287009,0.25,1.0,0.75,0.3359999999999999,0.3023205513791119
Fruitful Bran,,C,,0.39999999999999986,0.0,0.75,0.3571428571428571,0.6250000000000001,0.8125,0.5770392749244713,0.25,1.0,0.8300000000000001,0.3359999999999999,0.30362166581743005
Fruity Pebbles,,C,,0.0,0.2,0.421875,0.0,0.5833333333333335,0.8125,0.07854984894259819,0.25,0.5,0.5,0.39999999999999986,0.13194081509357775
Golden Crisp,,C,,0.1999999999999999,0.0,0.140625,0.0,0.5000000000000002,1.0,0.12386706948640483,0.25,0.0,0.5,0.5039999999999998,0.22745339966353811
Golden Grahams,,C,,0.0,0.2,0.875,0.0,0.6666666666666669,0.625,0.13897280966767372,0.25,0.5,0.5,0.39999999999999986,0.0761437360264347
Grape Nuts Flakes,,C,,0.39999999999999986,0.2,0.4375,0.21428571428571427,0.6666666666666669,0.375,0.2598187311178248,0.25,1.0,0.5,0.5039999999999998,0.4498165335464495
Grape-Nuts,,C,,0.39999999999999986,0.0,0.53125,0.21428571428571427,0.7500000000000002,0.25,0.27492447129909364,0.25,1.0,0.5,0.0,0.4669203499492302
Great Grains Pecan,,C,,0.39999999999999986,0.6000000000000001,0.234375,0.21428571428571427,0.5833333333333335,0.3125,0.3051359516616314,0.25,1.0,0.5,0.06399999999999997,0.36701174449900326
Honey Graham Ohs,,C,,0.0,0.4,0.6875,0.07142857142857142,0.5416666666666669,0.75,0.13897280966767372,0.25,0.5,0.5,0.5999999999999999,0.05059921642895776
Honey Nut Cheerios,,C,,0.39999999999999986,0.2,0.78125,0.10714285714285714,0.5208333333333335,0.6875,0.27492447129909364,0.25,0.0,0.5,0.39999999999999986,0.17220474604835312
Honey-comb,,C,,0.0,0.0,0.5625,0.0,0.6250000000000001,0.75,0.10876132930513595,0.25,0.0,0.5,0.8639999999999997,0.14141252377462998
Just Right Crunchy  Nuggets,,C,,0.1999999999999999,0.2,0.53125,0.07142857142857142,0.7500000000000002,0.4375,0.18429003021148035,1.0,1.0,0.5,0.5999999999999999,0.24425493775539636
Just Right Fruit & Nut,,C,,0.39999999999999986,0.2,0.53125,0.14285714285714285,0.8750000000000003,0.625,0.2900302114803625,1.0,1.0,0.8,0.39999999999999986,0.24356541120390574
Kix,,C,,0.1999999999999999,0.2,0.8125,0.0,0.9166666666666671,0.25,0.12386706948640483,0.25,0.5,0.5,0.9999999999999998,0.28017030886853594
Life,,C,,0.5999999999999999,0.4,0.46875,0.14285714285714285,0.5416666666666669,0.4375,0.2900302114803625,0.25,0.5,0.5,0.3359999999999999,0.3606196109302389
Lucky Charms,,C,,0.1999999999999999,0.2,0.5625,0.0,0.5416666666666669,0.8125,0.1691842900302115,0.25,0.5,0.5,0.5999999999999999,0.11487479834840875
Maypo,,H,,0.5999999999999999,0.2,0.0,0.0,0.7083333333333335,0.25,0.2900302114803625,0.25,0.5,0.5,0.5999999999999999,0.48647982243042526
Muesli Raisins; Dates; & Almonds,,C,,0.5999999999999999,0.6000000000000001,0.296875,0.21428571428571427,0.7083333333333335,0.75,0.5166163141993958,0.25,1.0,0.5,0.5999999999999999,0.2523591314807034
Muesli Raisins; Peaches; & Pecans,,C,,0.5999999999999999,0.6000000000000001,0.46875,0.21428571428571427,0.7083333333333335,0.75,0.5166163141993958,0.25,1.0,0.5,0.5999999999999999,0.2127474957363374
Mueslix Crispy Blend,,C,,0.39999999999999986,0.4,0.46875,0.21428571428571427,0.7500000000000002,0.875,0.48640483383685795,0.25,1.0,1.0,0.3359999999999999,0.1621750694842955
Multi-Grain Cheerios,,C,,0.1999999999999999,0.2,0.6875,0.14285714285714285,0.6666666666666669,0.4375,0.27492447129909364,0.25,0.0,0.5,0.5999999999999999,0.2916007535137061
Nut&Honey Crunch,,C,,0.1999999999999999,0.2,0.59375,0.0,0.6666666666666669,0.625,0.12386706948640483,0.25,0.5,0.5,0.3359999999999999,0.15703291508276523
Nutri-Grain Almond-Raisin,,C,,0.39999999999999986,0.4,0.6875,0.21428571428571427,0.9166666666666671,0.5,0.3957703927492447,0.25,1.0,0.8300000000000001,0.3359999999999999,0.2993504102406093
Nutri-grain Wheat,,C,,0.39999999999999986,0.0,0.53125,0.21428571428571427,0.7916666666666671,0.1875,0.27492447129909364,0.25,1.0,0.5,0.5999999999999999,0.5498130165922919
Oatmeal Raisin Crisp,,C,,0.39999999999999986,0.4,0.53125,0.10714285714285714,0.6041666666666669,0.6875,0.3655589123867069,0.25,1.0,0.75,0.1999999999999999,0.163992254982322
Post Nat. Raisin Bran,,C,,0.39999999999999986,0.2,0.625,0.42857142857142855,0.5000000000000002,0.9375,0.7885196374622356,0.25,1.0,0.8300000000000001,0.3359999999999999,0.2616601073026547
Product 19,,C,,0.39999999999999986,0.0,1.0,0.07142857142857142,0.8750000000000003,0.25,0.13897280966767372,1.0,1.0,0.5,0.5999999999999999,0.31007203200557815
Puffed Rice,,C,,0.0,0.0,0.0,0.0,0.5833333333333335,0.0625,0.04833836858006042,0.0,1.0,0.0,0.5999999999999999,0.5645267976509389
Puffed Wheat,,C,,0.1999999999999999,0.0,0.0,0.07142857142857142,0.45833333333333354,0.0625,0.1540785498489426,0.0,1.0,0.0,0.5999999999999999,0.5942581183454678
Quaker Oat Squares,,C,,0.5999999999999999,0.2,0.421875,0.14285714285714285,0.6250000000000001,0.4375,0.33534743202416917,0.25,1.0,0.5,0.1999999999999999,0.41591548768411163
Quaker Oatmeal,,H,,0.7999999999999996,0.4,0.0,0.19285714285714287,0.0,0.0,0.33534743202416917,0.0,0.0,0.5,0.3359999999999999,0.4333154630826142
Raisin Bran,,C,,0.39999999999999986,0.2,0.65625,0.3571428571428571,0.6250000000000001,0.8125,0.72809667673716,0.25,0.5,0.8300000000000001,0.39999999999999986,0.2804093057946175
Raisin Nut Bran,,C,,0.39999999999999986,0.4,0.4375,0.17857142857142855,0.4791666666666669,0.5625,0.4259818731117824,0.25,1.0,0.5,0.1999999999999999,0.2862801873715812
Raisin Squares,,C,,0.1999999999999999,0.0,0.0,0.14285714285714285,0.6666666666666669,0.4375,0.33534743202416917,0.25,1.0,0.5,0.1999999999999999,0.4928532279870093
Rice Chex,,C,,0.0,0.0,0.75,0.0,1.0000000000000002,0.1875,0.09365558912386707,0.25,0.0,0.5,0.7039999999999997,0.3166194745871383
Rice Krispies,,C,,0.1999999999999999,0.0,0.90625,0.0,0.9583333333333337,0.25,0.10876132930513595,0.25,0.0,0.5,0.5999999999999999,0.29760368277570454
Shredded Wheat,,C,,0.1999999999999999,0.0,0.0,0.21428571428571427,0.7083333333333335,0.0625,0.2900302114803625,0.0,0.0,0.32999999999999996,0.5999999999999999,0.6633844404529239
Shredded Wheat 'n'Bran,,C,,0.39999999999999986,0.0,0.0,0.2857142857142857,0.8333333333333337,0.0625,0.4259818731117824,0.0,0.0,0.5,0.3359999999999999,0.7458176165727233
Shredded Wheat spoon size,,C,,0.39999999999999986,0.0,0.0,0.21428571428571427,0.8750000000000003,0.0625,0.3655589123867069,0.0,0.0,0.5,0.3359999999999999,0.7237304307637087
Smacks,,C,,0.1999999999999999,0.2,0.21875,0.07142857142857142,0.4166666666666669,1.0,0.12386706948640483,0.25,0.5,0.5,0.39999999999999986,0.17429082456529965
Special K,,C,,0.9999999999999998,0.0,0.71875,0.07142857142857142,0.7083333333333335,0.25,0.1691842900302115,0.25,0.0,0.5,0.5999999999999999,0.4637525403914123
Strawberry Fruit Wheats,,C,,0.1999999999999999,0.0,0.046875,0.21428571428571427,0.6666666666666669,0.375,0.27492447129909364,0.25,0.5,0.5,0.5999999999999999,0.5461276292751265
Total Corn Flakes,,C,,0.1999999999999999,0.2,0.625,0.0,0.9166666666666671,0.25,0.10876132930513595,1.0,1.0,0.5,0.5999999999999999,0.27486556307262106
Total Raisin Bran,,C,,0.39999999999999986,0.2,0.59375,0.2857142857142857,0.6666666666666669,0.9375,0.6978851963746223,1.0,1.0,1.0,0.5999999999999999,0.13943492763169646
Total Whole Grain,,C,,0.39999999999999986,0.2,0.625,0.21428571428571427,0.7083333333333335,0.25,0.33534743202416917,1.0,1.0,0.5,0.5999999999999999,0.37820795021695225
Triples,,C,,0.1999999999999999,0.2,0.78125,0.0,0.9166666666666671,0.25,0.18429003021148035,0.25,1.0,0.5,0.39999999999999986,0.27838685229576293
Trix,,C,,0.0,0.2,0.4375,0.0,0.5833333333333335,0.8125,0.07854984894259819,0.25,0.5,0.5,0.5999999999999999,0.12833975008954623
Wheat Chex,,C,,0.39999999999999986,0.2,0.71875,0.21428571428571427,0.7500000000000002,0.25,0.35045317220543803,0.25,0.0,0.5,0.3359999999999999,0.41955761686163956
Wheaties,,C,,0.39999999999999986,0.2,0.625,0.21428571428571427,0.7500000000000002,0.25,0.33534743202416917,0.25,0.0,0.5,0.5999999999999999,0.44341036388104743
Wheaties Honey Gold,,C,,0.1999999999999999,0.2,0.625,0.07142857142857142,0.7083333333333335,0.5625,0.18429003021148035,0.25,0.0,0.5,0.39999999999999986,0.2398124999529157
